date,base,currency,rate
2024-01-05,EUR,PLN,4.3568
2024-01-05,EUR,RON,4.9737
2024-01-05,EUR,SEK,11.235
2024-01-05,EUR,SGD,1.4537
2024-01-05,EUR,THB,37.994
2024-01-05,EUR,TRY,32.589
2024-01-05,EUR,USD,1.0921
2024-01-05,EUR,ZAR,20.551
2024-01-08,EUR,AUD,1.6378
2024-01-08,EUR,BGN,1.9558
2024-01-08,EUR,BRL,5.3607
2024-01-08,EUR,CAD,1.4651
2024-01-08,EUR,CHF,0.9308
2024-01-08,EUR,CNY,7.8397
2024-01-08,EUR,CZK,24.488
2024-01-08,EUR,DKK,7.4615
2024-01-08,EUR,GBP,0.8615
2024-01-08,EUR,HKD,8.5459
2024-01-08,EUR,HUF,377.65
2024-01-08,EUR,IDR,16997.0
2024-01-08,EUR,ILS,4.0646
2024-01-08,EUR,INR,90.97
2024-01-08,EUR,ISK,150.7
2024-01-08,EUR,JPY,158.19
2024-01-08,EUR,KRW,1444.94
2024-01-08,EUR,MXN,18.4982
2024-01-08,EUR,MYR,5.091
2024-01-08,EUR,NOK,11.362
2024-01-08,EUR,NZD,1.7607
2024-01-08,EUR,PHP,60.914
2024-01-08,EUR,PLN,4.3465
2024-01-08,EUR,RON,4.9728
2024-01-08,EUR,SEK,11.2095
2024-01-08,EUR,SGD,1.457
2024-01-08,EUR,THB,38.338
2024-01-08,EUR,TRY,32.722
2024-01-08,EUR,USD,1.0946
2024-01-08,EUR,ZAR,20.498
2024-01-09,EUR,AUD,1.6339
2024-01-09,EUR,BGN,1.9558
2024-01-09,EUR,BRL,5.3475
2024-01-09,EUR,CAD,1.4613
2024-01-09,EUR,CHF,0.9313
2024-01-09,EUR,CNY,7.8381
2024-01-09,EUR,CZK,24.594
2024-01-09,EUR,DKK,7.4577
2024-01-09,EUR,GBP,0.85938
2024-01-09,EUR,HKD,8.5499
2024-01-09,EUR,HUF,378.83
2024-01-09,EUR,IDR,17006.0
2024-01-09,EUR,ILS,4.0782
2024-01-09,EUR,INR,90.92
2024-01-09,EUR,ISK,150.5
2024-01-09,EUR,JPY,157.63
2024-01-09,EUR,KRW,1442.62
2024-01-09,EUR,MXN,18.4514
2024-01-09,EUR,MYR,5.08
2024-01-09,EUR,NOK,11.308
2024-01-09,EUR,NZD,1.7526
2024-01-09,EUR,PHP,61.308
2024-01-09,EUR,PLN,4.3448
2024-01-09,EUR,RON,4.9716
2024-01-09,EUR,SEK,11.2115
2024-01-09,EUR,SGD,1.4557
2024-01-09,EUR,THB,38.252
2024-01-09,EUR,TRY,32.753
2024-01-09,EUR,USD,1.094
2024-01-09,EUR,ZAR,20.438
2024-01-10,EUR,AUD,1.6334
2024-01-10,EUR,BGN,1.9558
2024-01-10,EUR,BRL,5.3508
2024-01-10,EUR,CAD,1.4649
2024-01-10,EUR,CHF,0.9336
2024-01-10,EUR,CNY,7.8476
2024-01-10,EUR,CZK,24.562
2024-01-10,EUR,DKK,7.4582
2024-01-10,EUR,GBP,0.86023
2024-01-10,EUR,HKD,8.5602
2024-01-10,EUR,HUF,378.35
2024-01-10,EUR,IDR,17032.0
2024-01-10,EUR,ILS,4.1184
2024-01-10,EUR,INR,90.88
2024-01-10,EUR,ISK,150.1
2024-01-10,EUR,JPY,159.03
2024-01-10,EUR,KRW,1443.77
2024-01-10,EUR,MXN,18.5983
2024-01-10,EUR,MYR,5.0806
2024-01-10,EUR,NOK,11.2915
2024-01-10,EUR,NZD,1.7567
2024-01-10,EUR,PHP,61.593
2024-01-10,EUR,PLN,4.341
2024-01-10,EUR,RON,4.9728
2024-01-10,EUR,SEK,11.197
2024-01-10,EUR,SGD,1.4573
2024-01-10,EUR,THB,38.338
2024-01-10,EUR,TRY,32.809
2024-01-10,EUR,USD,1.0946
2024-01-10,EUR,ZAR,20.414
2024-01-11,EUR,AUD,1.6369
2024-01-11,EUR,BGN,1.9558
2024-01-11,EUR,BRL,5.3606
2024-01-11,EUR,CAD,1.4677
2024-01-11,EUR,CHF,0.9338
2024-01-11,EUR,CNY,7.8649
2024-01-11,EUR,CZK,24.659
2024-01-11,EUR,DKK,7.4568
2024-01-11,EUR,GBP,0.86145
2024-01-11,EUR,HKD,8.5899
2024-01-11,EUR,HUF,378.83
2024-01-11,EUR,IDR,17085.0
2024-01-11,EUR,ILS,4.1044
2024-01-11,EUR,INR,91.21
2024-01-11,EUR,ISK,150.1
2024-01-11,EUR,JPY,159.71
2024-01-11,EUR,KRW,1444.39
2024-01-11,EUR,MXN,18.6688
2024-01-11,EUR,MYR,5.1046
2024-01-11,EUR,NOK,11.3283
2024-01-11,EUR,NZD,1.7577
2024-01-11,EUR,PHP,61.516
2024-01-11,EUR,PLN,4.349
2024-01-11,EUR,RON,4.9722
2024-01-11,EUR,SEK,11.197
2024-01-11,EUR,SGD,1.46
2024-01-11,EUR,THB,38.449
2024-01-11,EUR,TRY,32.958
2024-01-11,EUR,USD,1.0987
2024-01-11,EUR,ZAR,20.433
2024-01-12,EUR,AUD,1.6375
2024-01-12,EUR,BGN,1.9558
2024-01-12,EUR,BRL,5.3309
2024-01-12,EUR,CAD,1.4634
2024-01-12,EUR,CHF,0.935
2024-01-12,EUR,CNY,7.8451
2024-01-12,EUR,CZK,24.689
2024-01-12,EUR,DKK,7.4565
2024-01-12,EUR,GBP,0.8595
2024-01-12,EUR,HKD,8.5599
2024-01-12,EUR,HUF,379.35
2024-01-12,EUR,IDR,17037.0
2024-01-12,EUR,ILS,4.0917
2024-01-12,EUR,INR,90.74
2024-01-12,EUR,ISK,150.1
2024-01-12,EUR,JPY,159.17
2024-01-12,EUR,KRW,1438.73
2024-01-12,EUR,MXN,18.4931
2024-01-12,EUR,MYR,5.0853
2024-01-12,EUR,NOK,11.2765
2024-01-12,EUR,NZD,1.7552
2024-01-12,EUR,PHP,61.092
2024-01-12,EUR,PLN,4.3628
2024-01-12,EUR,RON,4.9731
2024-01-12,EUR,SEK,11.26
2024-01-12,EUR,SGD,1.4583
2024-01-12,EUR,THB,38.406
2024-01-12,EUR,TRY,32.93
2024-01-12,EUR,USD,1.0942
2024-01-12,EUR,ZAR,20.441
2024-01-15,EUR,AUD,1.6449
2024-01-15,EUR,BGN,1.9558
2024-01-15,EUR,BRL,5.3333
2024-01-15,EUR,CAD,1.4695
2024-01-15,EUR,CHF,0.9351
2024-01-15,EUR,CNY,7.8529
2024-01-15,EUR,CZK,24.714
2024-01-15,EUR,DKK,7.459
2024-01-15,EUR,GBP,0.86075
2024-01-15,EUR,HKD,8.5599
2024-01-15,EUR,HUF,379.68
2024-01-15,EUR,IDR,17032.0
2024-01-15,EUR,ILS,4.1074
2024-01-15,EUR,INR,90.7
2024-01-15,EUR,ISK,149.7
2024-01-15,EUR,JPY,159.67
2024-01-15,EUR,KRW,1446.95
2024-01-15,EUR,MXN,18.4899
2024-01-15,EUR,MYR,5.1108
2024-01-15,EUR,NOK,11.314
2024-01-15,EUR,NZD,1.7679
2024-01-15,EUR,PHP,61.073
2024-01-15,EUR,PLN,4.3625
2024-01-15,EUR,RON,4.9743
2024-01-15,EUR,SEK,11.278
2024-01-15,EUR,SGD,1.4601
2024-01-15,EUR,THB,38.272
2024-01-15,EUR,TRY,32.944
2024-01-15,EUR,USD,1.0945
2024-01-15,EUR,ZAR,20.431
2024-01-16,EUR,AUD,1.6484
2024-01-16,EUR,BGN,1.9558
2024-01-16,EUR,BRL,5.3184
2024-01-16,EUR,CAD,1.4661
2024-01-16,EUR,CHF,0.9361
2024-01-16,EUR,CNY,7.8237
2024-01-16,EUR,CZK,24.71
2024-01-16,EUR,DKK,7.4582
