currency,rate,base,date
AUD,1.7592,EUR,2025-06-06
BGN,1.9558,EUR,2025-06-06
BRL,6.3685,EUR,2025-06-06
CAD,1.563,EUR,2025-06-06
CHF,0.9383,EUR,2025-06-06
CNY,8.1955,EUR,2025-06-06
CZK,24.757,EUR,2025-06-06
DKK,7.4595,EUR,2025-06-06
GBP,0.8426,EUR,2025-06-06
HKD,8.954,EUR,2025-06-06
HUF,403.15,EUR,2025-06-06
IDR,18616.0,EUR,2025-06-06
ILS,3.9885,EUR,2025-06-06
INR,97.84,EUR,2025-06-06
ISK,144.2,EUR,2025-06-06
JPY,164.62,EUR,2025-06-06
KRW,1551.09,EUR,2025-06-06
MXN,21.822,EUR,2025-06-06
MYR,4.8274,EUR,2025-06-06
NOK,11.524,EUR,2025-06-06
NZD,1.8936,EUR,2025-06-06
PHP,63.631,EUR,2025-06-06
PLN,4.287,EUR,2025-06-06
RON,5.0452,EUR,2025-06-06
SEK,10.959,EUR,2025-06-06
SGD,1.4683,EUR,2025-06-06
THB,37.211,EUR,2025-06-06
TRY,44.772,EUR,2025-06-06
USD,1.1411,EUR,2025-06-06
ZAR,20.274,EUR,2025-06-06
