date,base,currency,rate
2025-05-30,EUR,AUD,1.7647
2025-05-30,EUR,BGN,1.9558
2025-05-30,EUR,BRL,6.4405
2025-05-30,EUR,CAD,1.5656
2025-05-30,EUR,CHF,0.9341
2025-05-30,EUR,CNY,8.1576
2025-05-30,EUR,CZK,24.918
2025-05-30,EUR,DKK,7.4587
2025-05-30,EUR,GBP,0.8412
2025-05-30,EUR,HKD,8.8926
2025-05-30,EUR,HUF,403.6
2025-05-30,EUR,IDR,18520.0
2025-05-30,EUR,ILS,3.9761
2025-05-30,EUR,INR,97.02
2025-05-30,EUR,ISK,144.2
2025-05-30,EUR,JPY,162.96
2025-05-30,EUR,KRW,1563.09
2025-05-30,EUR,MXN,21.877
2025-05-30,EUR,MYR,4.8264
2025-05-30,EUR,NOK,11.5408
2025-05-30,EUR,NZD,1.9017
2025-05-30,EUR,PHP,63.209
2025-05-30,EUR,PLN,4.2498
2025-05-30,EUR,RON,5.0612
2025-05-30,EUR,SEK,10.8735
2025-05-30,EUR,SGD,1.4633
2025-05-30,EUR,THB,37.243
2025-05-30,EUR,TRY,44.495
2025-05-30,EUR,USD,1.1339
2025-05-30,EUR,ZAR,20.294
2025-06-02,EUR,AUD,1.7606
2025-06-02,EUR,BGN,1.9558
2025-06-02,EUR,BRL,6.5015
2025-06-02,EUR,CAD,1.5643
2025-06-02,EUR,CHF,0.9336
2025-06-02,EUR,CNY,8.2214
2025-06-02,EUR,CZK,24.899
2025-06-02,EUR,DKK,7.4606
2025-06-02,EUR,GBP,0.8434
2025-06-02,EUR,HKD,8.9576
2025-06-02,EUR,HUF,402.83
2025-06-02,EUR,IDR,18584.0
2025-06-02,EUR,ILS,4.0134
2025-06-02,EUR,INR,97.5
2025-06-02,EUR,ISK,144.4
2025-06-02,EUR,JPY,162.98
2025-06-02,EUR,KRW,1572.2
2025-06-02,EUR,MXN,22.007
2025-06-02,EUR,MYR,4.8605
2025-06-02,EUR,NOK,11.51
2025-06-02,EUR,NZD,1.8972
2025-06-02,EUR,PHP,63.553
2025-06-02,EUR,PLN,4.2578
2025-06-02,EUR,RON,5.0547
2025-06-02,EUR,SEK,10.8535
2025-06-02,EUR,SGD,1.4686
2025-06-02,EUR,THB,37.163
